Current Course,Technical Skills,Programming Languages,Programming Languages Ratings,Soft Skills,Soft Skills Ratings,Projects,Career Interest,Challenges,major
b.sc data science,"sql, python, cybersecurity","r, java",2,"adaptability, leadership, teamwork",3,no,ai engineer,difficulty in resume building,b.sc data science
b.sc data science,"cybersecurity, blockchain, sql","javascript, python",1,"time management, problem-solving, adaptability",2,yes,business analyst,interview anxiety,b.sc data science
b.tech cse,"data analysis, machine learning, python","java, go, python",3,"leadership, teamwork",4,yes,cybersecurity expert,interview anxiety,b.tech cse
m.tech ai,"java, blockchain, cybersecurity",r,5,"leadership, communication, time management",5,yes,cybersecurity expert,interview anxiety,m.tech ai
b.sc data science,"data analysis, cybersecurity, java",python,5,"problem-solving, teamwork",5,no,data scientist,limited guidance,b.sc data science
b.sc data science,"sql, cloud computing","r, javascript, c++",5,"communication, time management",3,yes,software developer,interview anxiety,b.sc data science
m.tech ai,"java, machine learning, cloud computing, blockchain",javascript,2,"time management, leadership, communication",3,no,ai engineer,lack of experience,m.tech ai
b.tech cse,"blockchain, cloud computing, machine learning, data analysis","java, javascript",3,"time management, teamwork, communication",5,yes,data scientist,difficulty in resume building,b.tech cse
b.tech it,"cloud computing, cybersecurity, blockchain",r,2,"leadership, problem-solving",2,no,ai engineer,no networking opportunities,b.tech it
b.tech cse,"python, machine learning, cybersecurity",go,4,"leadership, adaptability, communication",3,no,business analyst,limited guidance,b.tech cse
m.tech ai,"python, java, machine learning, cloud computing","go, c++, r",1,"adaptability, leadership",2,no,data scientist,no networking opportunities,m.tech ai
b.sc data science,"sql, cybersecurity, python","r, python, c#",4,"communication, time management, teamwork",1,yes,cloud architect,interview anxiety,b.sc data science
b.tech it,"python, cloud computing",r,1,"teamwork, adaptability",5,yes,software developer,difficulty in resume building,b.tech it
b.tech it,"java, cloud computing, machine learning, sql",go,3,"time management, adaptability",4,yes,software developer,limited guidance,b.tech it
b.tech cse,"cybersecurity, data analysis","javascript, python",5,"problem-solving, teamwork",1,yes,cybersecurity expert,difficulty in resume building,b.tech cse
b.tech cse,"cloud computing, sql, java, cybersecurity","javascript, java",4,"problem-solving, adaptability",4,yes,cybersecurity expert,interview anxiety,b.tech cse
m.tech ai,"blockchain, cloud computing","python, r, go",5,"problem-solving, teamwork, time management",5,no,business analyst,lack of experience,m.tech ai
b.tech cse,"python, cybersecurity","javascript, java",4,"time management, leadership",5,yes,software developer,no networking opportunities,b.tech cse
b.tech it,"cybersecurity, java, cloud computing",javascript,2,"leadership, communication, adaptability",1,no,cloud architect,interview anxiety,b.tech it
b.tech it,"sql, data analysis, cloud computing, java","java, python",5,"time management, problem-solving, teamwork",3,no,business analyst,no networking opportunities,b.tech it
m.tech ai,"machine learning, cybersecurity, sql, blockchain",python,2,"time management, problem-solving, leadership",2,no,cybersecurity expert,limited guidance,m.tech ai
m.tech ai,"machine learning, cybersecurity","c#, go, c++",4,"adaptability, teamwork",2,no,cybersecurity expert,lack of experience,m.tech ai
b.sc data science,"python, blockchain, sql","c#, c++, python",3,"time management, adaptability, communication",3,yes,data scientist,difficulty in resume building,b.sc data science
b.tech it,"cybersecurity, cloud computing, machine learning","c++, java",4,"time management, problem-solving, adaptability",2,no,ai engineer,lack of experience,b.tech it
m.tech ai,"machine learning, cybersecurity, python","c#, r",5,"teamwork, leadership",1,yes,software developer,limited guidance,m.tech ai
b.sc data science,"cybersecurity, sql","r, javascript, java",3,"time management, adaptability",5,no,ai engineer,limited guidance,b.sc data science
b.tech cse,"data analysis, python",c++,4,"communication, problem-solving",1,yes,software developer,limited guidance,b.tech cse
b.sc data science,"blockchain, java, machine learning, cloud computing","c#, c++, python",2,"problem-solving, leadership",3,no,ai engineer,lack of experience,b.sc data science
b.sc data science,"data analysis, sql, blockchain","r, java, python",4,"problem-solving, adaptability",2,no,cybersecurity expert,interview anxiety,b.sc data science
b.tech cse,"sql, cybersecurity",go,5,"communication, leadership, adaptability",4,yes,software developer,no networking opportunities,b.tech cse
b.sc data science,"data analysis, cloud computing, cybersecurity, python","java, javascript",5,"leadership, adaptability, problem-solving",2,yes,business analyst,lack of experience,b.sc data science
m.tech ai,"machine learning, blockchain, java","c#, go, java",3,"communication, teamwork, problem-solving",3,no,data scientist,interview anxiety,m.tech ai
b.sc data science,"java, cloud computing, cybersecurity, data analysis",python,1,"teamwork, problem-solving",3,no,cybersecurity expert,lack of experience,b.sc data science
b.tech it,"java, data analysis","python, r",2,"time management, communication, leadership",4,no,cloud architect,limited guidance,b.tech it
m.tech ai,"blockchain, machine learning","javascript, c#, r",5,"time management, adaptability, leadership",1,no,cybersecurity expert,limited guidance,m.tech ai
b.tech it,"python, cloud computing, cybersecurity",javascript,5,"time management, teamwork",4,yes,software developer,no networking opportunities,b.tech it
m.tech ai,"data analysis, machine learning","go, javascript",5,"problem-solving, communication, teamwork",4,no,ai engineer,no networking opportunities,m.tech ai
b.tech it,"java, sql",c++,4,"time management, leadership",1,yes,data scientist,interview anxiety,b.tech it
b.sc data science,"data analysis, cybersecurity, java, cloud computing","c#, c++, java",2,"time management, teamwork",1,yes,business analyst,interview anxiety,b.sc data science
b.tech cse,"cloud computing, sql, blockchain, cybersecurity",python,5,"teamwork, time management, leadership",2,yes,data scientist,difficulty in resume building,b.tech cse
b.tech cse,"python, sql","java, c#",5,"leadership, problem-solving",4,yes,cloud architect,no networking opportunities,b.tech cse
b.sc data science,"data analysis, java, cybersecurity",r,2,"adaptability, teamwork, communication",5,no,cloud architect,interview anxiety,b.sc data science
b.sc data science,"cybersecurity, machine learning","java, go",2,"adaptability, time management",4,yes,data scientist,limited guidance,b.sc data science
b.sc data science,"machine learning, blockchain, cloud computing",javascript,5,"adaptability, teamwork",5,no,software developer,no networking opportunities,b.sc data science
b.tech it,"machine learning, python, cybersecurity, data analysis","javascript, c++",1,"time management, problem-solving, teamwork",4,yes,data scientist,interview anxiety,b.tech it
m.tech ai,"python, sql","r, go",1,"problem-solving, adaptability",2,no,cloud architect,limited guidance,m.tech ai
b.sc data science,"machine learning, sql","javascript, python, c++",3,"teamwork, communication",1,yes,cloud architect,interview anxiety,b.sc data science
m.tech ai,"data analysis, sql, cloud computing, cybersecurity","c++, javascript, c#",1,"teamwork, communication",5,yes,data scientist,limited guidance,m.tech ai
b.tech cse,"blockchain, machine learning","java, python",2,"communication, problem-solving",2,yes,data scientist,limited guidance,b.tech cse
m.tech ai,"python, sql, blockchain, cybersecurity","python, r",3,"teamwork, time management",5,no,cloud architect,limited guidance,m.tech ai
b.tech cse,"python, cloud computing, data analysis, java","java, r, python",3,"adaptability, time management, problem-solving",5,yes,cybersecurity expert,limited guidance,b.tech cse
b.tech cse,"blockchain, python, data analysis","c++, java",5,"communication, leadership, teamwork",4,yes,ai engineer,difficulty in resume building,b.tech cse
m.tech ai,"java, data analysis, cybersecurity","c++, r",5,"communication, problem-solving",1,yes,data scientist,lack of experience,m.tech ai
m.tech ai,"cybersecurity, machine learning",c++,4,"adaptability, problem-solving, teamwork",1,yes,cloud architect,lack of experience,m.tech ai
m.tech ai,"sql, machine learning",python,5,"leadership, time management",3,no,business analyst,difficulty in resume building,m.tech ai
b.sc data science,"cybersecurity, cloud computing",r,1,"problem-solving, time management, communication",2,yes,cloud architect,no networking opportunities,b.sc data science
b.sc data science,"cloud computing, data analysis, sql, java","c#, r",2,"problem-solving, time management, teamwork",1,no,cybersecurity expert,lack of experience,b.sc data science
b.sc data science,"sql, java","python, go, c#",4,"communication, problem-solving",4,no,data scientist,no networking opportunities,b.sc data science
b.tech cse,"java, python","r, javascript",1,"leadership, problem-solving",1,yes,cloud architect,limited guidance,b.tech cse
b.sc data science,"java, python",r,2,"leadership, adaptability, communication",2,yes,ai engineer,lack of experience,b.sc data science
b.tech it,"cybersecurity, sql, python",c++,5,"communication, adaptability, teamwork",2,no,cloud architect,difficulty in resume building,b.tech it
b.tech it,"cybersecurity, cloud computing, python","java, c#",1,"adaptability, communication, time management",3,yes,data scientist,difficulty in resume building,b.tech it
m.tech ai,"machine learning, java, sql, data analysis",c#,5,"teamwork, problem-solving, leadership",1,yes,cloud architect,interview anxiety,m.tech ai
b.sc data science,"sql, data analysis",java,1,"leadership, communication, problem-solving",1,yes,business analyst,difficulty in resume building,b.sc data science
b.sc data science,"python, sql, machine learning","c#, r, go",2,"adaptability, problem-solving, leadership",4,yes,cloud architect,difficulty in resume building,b.sc data science
b.tech cse,"java, python, cybersecurity, cloud computing","r, c#",5,"adaptability, time management, teamwork",5,no,business analyst,interview anxiety,b.tech cse
b.tech it,"cloud computing, python","python, java, r",1,"time management, teamwork",2,no,cybersecurity expert,no networking opportunities,b.tech it
m.tech ai,"python, data analysis, java","r, javascript, python",1,"time management, communication",5,yes,software developer,lack of experience,m.tech ai
b.tech it,"cloud computing, python, java","javascript, c++",5,"leadership, time management, communication",1,no,business analyst,interview anxiety,b.tech it
b.sc data science,"cloud computing, data analysis",go,3,"adaptability, communication",1,no,cloud architect,interview anxiety,b.sc data science
b.tech cse,"blockchain, python, machine learning, java",java,3,"communication, leadership",3,no,ai engineer,no networking opportunities,b.tech cse
b.sc data science,"data analysis, sql",r,3,"communication, time management, adaptability",2,yes,software developer,lack of experience,b.sc data science
b.tech it,"cybersecurity, machine learning, cloud computing, blockchain",javascript,5,"time management, teamwork, problem-solving",2,no,cloud architect,lack of experience,b.tech it
m.tech ai,"sql, cybersecurity",python,1,"teamwork, time management, communication",2,no,cloud architect,difficulty in resume building,m.tech ai
m.tech ai,"machine learning, data analysis, sql","c++, python, c#",3,"time management, communication, teamwork",2,no,software developer,lack of experience,m.tech ai
m.tech ai,"java, machine learning","go, python, javascript",3,"problem-solving, teamwork, time management",3,yes,data scientist,limited guidance,m.tech ai
b.tech it,"cybersecurity, data analysis, python","c++, go, javascript",3,"time management, leadership, problem-solving",5,no,software developer,interview anxiety,b.tech it
b.sc data science,"sql, data analysis, cloud computing, machine learning",r,2,"problem-solving, teamwork, communication",2,no,software developer,difficulty in resume building,b.sc data science
b.tech it,"blockchain, cloud computing, data analysis","python, c++",1,"teamwork, problem-solving, time management",2,no,cybersecurity expert,lack of experience,b.tech it
b.sc data science,"machine learning, sql","java, c#, javascript",3,"problem-solving, teamwork",5,yes,software developer,limited guidance,b.sc data science
b.tech it,"cybersecurity, data analysis, sql, blockchain",java,2,"adaptability, leadership",1,yes,business analyst,no networking opportunities,b.tech it
m.tech ai,"data analysis, java, cybersecurity, python","c++, go",2,"communication, leadership, adaptability",4,no,cybersecurity expert,lack of experience,m.tech ai
m.tech ai,"data analysis, java","javascript, r, c++",3,"leadership, problem-solving, time management",1,no,cybersecurity expert,interview anxiety,m.tech ai
b.tech it,"python, cybersecurity","python, c++, go",2,"leadership, communication, time management",1,yes,data scientist,difficulty in resume building,b.tech it
b.tech cse,"cloud computing, sql","c#, r",4,"leadership, problem-solving, teamwork",4,no,data scientist,lack of experience,b.tech cse
m.tech ai,"java, cybersecurity, machine learning","javascript, c++, python",4,"communication, problem-solving",4,no,software developer,lack of experience,m.tech ai
m.tech ai,"cloud computing, machine learning","c#, c++",3,"leadership, teamwork, problem-solving",5,no,data scientist,difficulty in resume building,m.tech ai
b.tech cse,"java, cybersecurity, python, data analysis",java,4,"leadership, communication",3,yes,ai engineer,interview anxiety,b.tech cse
b.tech cse,"data analysis, java, machine learning","java, python, go",1,"leadership, communication, time management",4,no,data scientist,no networking opportunities,b.tech cse
b.tech cse,"cybersecurity, blockchain, python, data analysis","java, c#, javascript",3,"time management, leadership",3,yes,software developer,interview anxiety,b.tech cse
b.tech it,"cloud computing, machine learning",r,3,"teamwork, problem-solving",4,yes,data scientist,no networking opportunities,b.tech it
m.tech ai,"cloud computing, blockchain, sql",go,2,"communication, leadership, problem-solving",1,no,cloud architect,no networking opportunities,m.tech ai
b.sc data science,"machine learning, cloud computing, java","java, c++",4,"time management, leadership, problem-solving",4,yes,cloud architect,no networking opportunities,b.sc data science
b.tech cse,"python, cloud computing, machine learning","go, java",2,"adaptability, time management, teamwork",5,no,software developer,lack of experience,b.tech cse
b.sc data science,"blockchain, cloud computing",c#,2,"adaptability, teamwork",1,no,cybersecurity expert,difficulty in resume building,b.sc data science
m.tech ai,"python, machine learning","javascript, c++, java",5,"time management, communication, leadership",2,yes,ai engineer,interview anxiety,m.tech ai
m.tech ai,"cybersecurity, cloud computing, machine learning","c++, javascript",1,"time management, teamwork",4,no,cloud architect,no networking opportunities,m.tech ai
b.tech cse,"data analysis, cloud computing","c#, javascript, go",3,"leadership, problem-solving, time management",4,no,ai engineer,lack of experience,b.tech cse
m.tech ai,"java, sql, python","c++, python",3,"time management, teamwork, problem-solving",3,yes,ai engineer,interview anxiety,m.tech ai
b.sc data science,"python, blockchain",r,2,"teamwork, time management",1,yes,software developer,interview anxiety,b.sc data science
b.sc data science,"sql, python, cybersecurity, data analysis","go, java",5,"time management, adaptability",4,yes,cybersecurity expert,limited guidance,b.sc data science
m.tech ai,"machine learning, data analysis, python",java,1,"adaptability, communication, leadership",4,yes,software developer,limited guidance,m.tech ai
b.tech cse,"data analysis, machine learning, java",c#,2,"communication, teamwork, problem-solving",4,yes,data scientist,interview anxiety,b.tech cse
b.tech cse,"machine learning, sql, python, data analysis",go,1,"teamwork, time management, problem-solving",1,no,ai engineer,no networking opportunities,b.tech cse
b.tech it,"python, machine learning, java, data analysis","javascript, python, r",4,"problem-solving, adaptability, leadership",2,no,software developer,lack of experience,b.tech it
b.sc data science,"machine learning, cloud computing, python",java,2,"leadership, adaptability, time management",5,no,business analyst,lack of experience,b.sc data science
b.sc data science,"cloud computing, java","java, c++",1,"communication, leadership, problem-solving",4,no,cloud architect,difficulty in resume building,b.sc data science
